video_id,frame_no,parsed_json,schema_conformant,node_tp,node_fp,node_fn,node_precision,node_recall,node_f1,edge_tp,edge_fp,edge_fn,edge_precision,edge_recall,edge_f1,box_mean_iou,box_median_iou,box_std_iou,box_min_iou,box_max_iou,box_match_count,box_iou@0.5_coverage,box_iou@0.75_coverage,gen_wall_time_s
0JVmVXLrNZo,23,1,1,3,1,3,0.75,0.5,0.6,0,3,4,0.0,0.0,0.0,0.43393072485923767,0.5,0.09470613300800323,0.30000001192092896,0.5017921328544617,3,0.6666666666666666,0.0,13.598788
0JVmVXLrNZo,62,1,1,3,0,1,1.0,0.75,0.8571428571428571,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.7389523386955261,0.824999988079071,0.2556203603744507,0.3918569087982178,1.0,3,0.6666666666666666,0.6666666666666666,13.851723
0JVmVXLrNZo,64,1,1,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,3,5,0.0,0.0,0.0,0.3962264060974121,0.3962264060974121,0.0,0.3962264060974121,0.3962264060974121,1,0.0,0.0,14.309772
0JVmVXLrNZo,150,1,1,2,1,0,0.6666666666666666,1.0,0.8,1,1,0,0.5,1.0,0.6666666666666666,0.6764705777168274,0.6764705777168274,0.3235293924808502,0.3529411852359772,1.0,2,0.5,0.5,12.402315
1mB0G1AwUPg,99,1,1,6,2,2,0.75,0.75,0.75,1,6,4,0.14285714285714285,0.2,0.16666666666666666,0.6513997912406921,0.7041995525360107,0.22153672575950623,0.3333333432674408,1.0,6,0.6666666666666666,0.3333333333333333,33.245748
1mB0G1AwUPg,279,1,1,7,1,3,0.875,0.7,0.7777777777777777,3,7,5,0.3,0.375,0.33333333333333326,0.6827913522720337,0.75,0.18357360363006592,0.36000001430511475,0.875,7,0.7142857142857143,0.5714285714285714,36.336593
1mB0G1AwUPg,290,1,1,6,1,4,0.8571428571428571,0.6,0.7058823529411764,4,4,7,0.5,0.36363636363636365,0.4210526315789474,0.7506800293922424,0.7888889312744141,0.09602636098861694,0.5625,0.8402625918388367,6,1.0,0.6666666666666666,30.389123
1mB0G1AwUPg,304,1,1,8,1,4,0.8888888888888888,0.6666666666666666,0.761904761904762,2,4,6,0.3333333333333333,0.25,0.28571428571428575,0.6221914291381836,0.5628571510314941,0.2142706662416458,0.3723404109477997,1.0,8,0.75,0.25,33.786144
3rtzSsuJ4Ng,5,1,1,5,2,4,0.7142857142857143,0.5555555555555556,0.6250000000000001,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.508314847946167,0.488790899515152,0.14262014627456665,0.3019867539405823,0.7343941330909729,5,0.4,0.0,29.033041
3rtzSsuJ4Ng,19,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.023232
